date,Open,High,Low,Close,Change,Volume,TTM P_E Ratio_NZZH_JSZB,Index Points_NZZH_JSZB,Percentile_NZZH_JSZB
2023-05-25,12706.44,12736.92,12604.89,12698.09,0.0171,4161398000,39.85,12657.9,78.47
2023-05-26,12736.42,13001.91,12729.74,12975.69,0.0219,3955713000,40.62,12975.69,80.76
2023-05-30,13109.1,13154.29,12968.12,13017.43,0.0032,4354320400,40.62,12975.69,80.76
2023-05-31,12968.38,13029.08,12889.37,12935.29,-0.0063,5591643100,40.62,12975.69,80.76
2023-06-01,12944.46,13141.83,12903.63,13100.98,0.0128,4156446300,40.62,12975.69,80.76
2023-06-02,13190.48,13256.21,13125.86,13240.77,0.0107,3983535000,41.25,13240.77,82.97
2023-06-05,13238.48,13330.65,13194.95,13229.43,-0.0009,3946500600,41.25,13240.77,82.97
2023-06-06,13199.59,13306.21,13165.65,13276.42,0.0036,4532711200,41.25,13240.77,82.97
2023-06-07,13295.26,13361.9,13089.48,13104.9,-0.0129,4812329000,41.25,13240.77,82.97
2023-06-08,13113.27,13248.6,13101.18,13238.52,0.0102,3923256700,41.25,13240.77,82.97
2023-06-09,13312.4,13385.95,13229.33,13259.14,0.0016,4016191800,41.28,13259.14,83.05
2023-06-12,13326.37,13465.91,13302.58,13461.92,0.0153,4401494000,41.28,13259.14,83.05
2023-06-13,13566.53,13594.4,13473.19,13573.32,0.0083,5062728500,41.28,13259.14,83.05
2023-06-14,13570.56,13661.74,13455.99,13626.48,0.0039,4871972200,41.28,13259.14,83.05
2023-06-15,13572.88,13828.17,13561.37,13782.82,0.0115,5189895900,41.28,13259.14,83.05
2023-06-16,13859.07,13864.06,13680.96,13689.57,-0.0068,7792146800,42.46,13689.57,86.44
2023-06-20,13642.3,13711.18,13561.84,13667.29,-0.0016,4870382800,42.46,13689.57,86.44
2023-06-21,13620.87,13638.57,13460.94,13502.2,-0.0121,4754621500,42.46,13689.57,86.44
2023-06-22,13443.41,13631.85,13441.56,13630.61,0.0095,4131893800,42.46,13689.57,86.44
2023-06-23,13484.1,13572.19,13442.65,13492.52,-0.0101,7585348200,41.8,13492.52,84.66
2023-06-26,13468.75,13573.57,13334.42,13335.78,-0.0116,4089774400,41.8,13492.52,84.66
2023-06-27,13389.25,13578.8,13366.97,13555.67,0.0165,4678373200,41.8,13492.52,84.66
2023-06-28,13506.02,13654.14,13495.73,13591.75,0.0027,4126338400,41.8,13492.52,84.66
2023-06-29,13592.36,13618.53,13540.26,13591.33,0.0,3971736600,41.8,13492.52,84.66
2023-06-30,13719.98,13816.68,13716.16,13787.92,0.0145,4233851000,43.36,13787.92,87.63
2023-07-03,13798.7,13839.09,13773.41,13816.77,0.0021,2701869800,43.36,13787.92,87.63
2023-07-05,13772.1,13844.5,13764.25,13791.65,-0.0018,5127576100,43.36,13787.92,87.63
2023-07-06,13653.17,13689.52,13567.26,13679.04,-0.0082,5733167000,43.36,13787.92,87.63
2023-07-07,13668.07,13804.51,13656.74,13660.72,-0.0013,4762662000,42.8,13660.72,86.95
2023-07-10,13645.37,13692.41,13584.87,13685.48,0.0018,4923045600,42.8,13660.72,86.95
2023-07-11,13709.82,13774.83,13643.32,13760.7,0.0055,4531943500,42.8,13660.72,86.95
2023-07-12,13915.64,13963.45,13842.13,13918.96,0.0115,4808803300,42.8,13660.72,86.95
2023-07-13,14021.15,14163.81,14012.24,14138.57,0.0158,4816687500,42.8,13660.72,86.95
2023-07-14,14166.66,14232.11,14081.96,14113.7,-0.0018,4994479000,44.19,14113.7,89.49
2023-07-17,14149.92,14274.41,14138.01,14244.95,0.0093,4311552500,44.19,14113.7,89.49
2023-07-18,14212.25,14396.69,14176.11,14353.64,0.0076,4414110100,44.19,14113.7,89.49
